Chainlink,$22.84
Dogecoin,$0.03154
Bitcoin,"$34,786.23"
Kusama,$102.45
Zcash,$92.20
Neo,$23.34
UNUS SED LEO,$1.30
Tezos,$2.90
Bitcoin Cash,$426.53
Aave,$299.67
Ethereum,"$1,470.36"
Zilliqa,$0.07788
Avalanche,$13.07
FTX Token,$12.44
SushiSwap,$12.71
THETA,$2.10
Binance Coin,$50.21
Bitcoin SV,$178.67
Decred,$66.48
Tether,$1.00
Celsius,$4.89
Terra,$2.07
Compound,$349.68
Stellar,$0.3309
Synthetix,$16.54
XRP,$0.3734
EOS,$2.97
Revain,$0.01167
IOTA,$0.4179
Algorand,$0.6472
Binance USD,$1.00
Cosmos,$8.90
USD Coin,$1.00
Polkadot,$17.11
Elrond,$65.91
The Graph,$0.7713
Monero,$146.59
Waves,$6.90
Crypto.com Coin,$0.06225
VeChain,$0.02865
Uniswap,$18.48
Cardano,$0.4370
yearn.finance,"$30,614.96"
Filecoin,$22.61
UMA,$12.92
NEM,$0.2656
Solana,$5.20
Maker,"$1,707.22"
Wrapped Bitcoin,"$34,835.03"
Litecoin,$143.58
Ethereum Classic,$7.66
Dash,$107.04
TRON,$0.03288
NEAR Protocol,$2.45
Huobi Token,$6.86
Dai,$1.00
Ren,$0.6687
OMG Network,$3.90
BitTorrent,$0.0004017
TerraUSD,$1.03
0x,$0.6622
Stacks,$0.4535
Bitcoin BEP2,"$34,697.61"
Ravencoin,$0.02438
Hedera Hashgraph,$0.08982
Nexo,$0.9743
TrueUSD,$1.00
Verge,$0.01636
Nano,$3.54
Bancor,$2.00
Alpha Finance Lab,$1.90
Loopring,$0.5220
Matic Network,$0.04004
Celo,$2.83
Horizen,$35.10
Basic Attention Token,$0.3159
FunFair,$0.03969
Flow (Dapper Labs),$10.00
Enjin Coin,$0.3539
THORChain,$3.70
Augur,$17.66
1inch,$4.81
Reserve Rights,$0.03910
Decentraland,$0.1647
Quant,$37.84
Balancer,$33.49
SwissBorg,$0.6169
Kyber Network,$1.40
Bitcoin Gold,$10.67
Paxos Standard,$1.00
HUSD,$0.9998
Siacoin,$0.008017
Curve DAO Token,$2.48
Band Protocol,$11.29
Status,$0.05183
Voyager Token,$2.53
Fantom,$0.1122
HedgeTrade,$1.45
PancakeSwap,$2.30
ICON,$0.7666
OKB,$5.91
Energy Web Token,$7.69
renBTC,"$34,870.42"
Gnosis,$119.02
Ontology,$0.6204
Ocean Protocol,$0.5686
DigiByte,$0.03018
Qtum,$3.49
Injective Protocol,$11.10
Lisk,$1.38
Ampleforth,$1.34
Serum,$2.85
Arweave,$5.86
iExec RLC,$1.31
Helium,$2.43
Harmony,$0.008946
ABBC Coin,$0.1902
Unibright,$0.9304
PAX Gold,"$1,852.09"
Chiliz,$0.02247
IOST,$0.01647
MonaCoin,$1.57
Velas,$0.04381
Opium,$19.01
IoTeX,$0.01174
Travala.com,$1.78
BitShares,$0.04065
Populous,$1.69
MaidSafeCoin,$0.3611
ZB Token,$0.2894
district0x,$0.1273
Bytom,$0.07329
Numeraire,$26.98
Storj,$0.4493
Holo,$0.0007871
Keep3rV1,$379.27
Oasis Network,$0.05931
Pundi X,$0.0004173
Ardor,$0.08173
Civic,$0.1672
Golem,$0.1204
Utrust,$0.2881
Aragon,$4.12
Steem,$0.1919
saffron.finance,"$1,314.81"
Kin,$0.00005825
Orchid,$0.3463
Swipe,$1.30
RSK Infrastructure Framework,$0.1727
Theta Fuel,$0.03080
aelf,$0.1495
KuCoin Token,$1.20
Secret,$1.17
Bitcoin Diamond,$0.6740
DFI.Money,"$1,908.84"
Kava.io,$2.49
Nervos Network,$0.006003
NuCypher,$0.2764
Komodo,$0.7087
CyberVein,$0.08866
Venus,$10.63
SingularityNET,$0.08465
LTO Network,$0.2197
Morpheus.Network,$2.40
TomoChain,$1.35
JUST,$0.03276
Stratis,$0.6800
Ankr,$0.01317
Fetch.ai,$0.1075
Haven Protocol,$3.88
,
,
Enzyme,$34.70
Hive,$0.1410
Mainframe,$0.007329
Wrapped NXM,$43.55
,
,
LBRY Credits,$0.1035
,
,
,
,
,
,
,
,
,
,
DxChain Token,$0.001334
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
ICON,$0.7666
DigiByte,$0.03018
BitTorrent,$0.0004017
TrueUSD,$1.00
Horizen,$35.10
Reserve Rights,$0.03910
Siacoin,$0.007996
OKB,$5.91
Qtum,$3.49
Stacks,$0.4535
Alpha Finance Lab,$1.90
Enjin Coin,$0.3539
Kyber Network,$1.40
Fantom,$0.1122
Ampleforth,$1.34
IOST,$0.01647
TerraUSD,$1.03
Verge,$0.01636
FunFair,$0.03969
Decentraland,$0.1647
Paxos Standard,$1.00
PancakeSwap,$2.30
Ocean Protocol,$0.5686
Bitcoin BEP2,"$34,697.61"
Bancor,$2.00
Flow (Dapper Labs),$10.00
Balancer,$33.49
Band Protocol,$11.29
Energy Web Token,$7.69
Arweave,$5.86
Ravencoin,$0.02438
Matic Network,$0.04004
Augur,$17.66
Bitcoin Gold,$10.67
Status,$0.05183
Gnosis,$119.02
Lisk,$1.38
Injective Protocol,$11.10
Helium,$2.43
ABBC Coin,$0.1902
MaidSafeCoin,$0.3611
Aragon,$4.12
Theta Fuel,$0.03080
Nervos Network,$0.006003
Serum,$2.85
Unibright,$0.9304
ZB Token,$0.2894
Holo,$0.0007871
